row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
1,OGLE-2016-BLG-1469L b,13.6,,,2017
2,11 Com b,19.4,,326.03,2008
3,11 Oph b,21,,730000,2007
4,11 UMi b,10.5,,516.22,2009
5,14 And b,5.33,,185.84,2008
6,14 Her b,4.64,,1773.4,2002
7,16 Cyg B b,1.68,,799.5,1996
8,18 Del b,10.3,,993.3,2008
9,1I/2017 U1,,2.00E-06,,2017
10,1RXS 1609 b,14,1.7,,2008
11,1SWASP J1407 b,20,,3725,2012
12,24 Sex b,1.99,,452.8,2010
13,24 Sex c,0.86,,883,2010
14,2M 0103-55 (AB) b,13,,,2013
15,2M 0122-24 b,20,1,,2013
16,2M 0219-39 b,13.9,1.44,,2015
17,2M 0441+23 b,7.5,,,2010
18,2M 0746+20 b,30,0.97,4640,2010
19,2M 1207-39,24,,,2001
20,2M 1207-39 b,4,,,2004
21,2M 1938+46 b,1.9,,416,2015
22,2M 2140+16 b,20,0.92,7340,2010
23,2M 2206-20 b,30,1.3,8686,2010
24,2M 2236+4751 b,12.5,,,2016
25,2M J2126-81 b,13.3,,,2016
26,2M1450-7841 B b,0.04,,,2017
27,2M1450-7841 b,0.04,,,2017
28,2M2250+2325,30,,,2017
29,2MASS J11193254 AB,3.7,,32850,2017
30,30 Ari B b,9.88,,335.1,2009
31,38 Vir b,4.51,,825.9,2016
32,4 Uma b,7.1,,269.3,2007
33,42 Dra b,3.88,,479.1,2009
34,47 Uma b,2.53,,1078,1996
35,47 Uma c,0.54,,2391,2001
36,47 Uma d,1.64,,14002,2010
37,51 Eri b,9.1,1.11,14965,2015
38,51 Peg b,0.47,1.9,4.2308,1995
39,55 Cnc b,0.84,,14.65314,1996
40,55 Cnc c,0.1784,,44.373,2002
41,55 Cnc d,3.86,,4867,2002
42,55 Cnc e,0.02547,0.177536225,0.7365478,2004
43,55 Cnc f,0.1479,,260.91,2007
44,6 Lyn b,69,,899,2008
45,61 Vir b,0.016,,4.215,2009
46,61 Vir c,0.0573,,38.021,2009
47,61 Vir d,0.072,,123.01,2009
48,7 CMa b,2.46,,796,2011
49,70 Vir b,6.6,,116.67,1996
50,75 Cet b,3,,691.9,2012
51,8 Umi b,1.5,,93.4,2015
52,81 Cet b,5.3,,952.7,2008
53,91 Aqr b,3.2,,181.4,2003
54,AB Pic b,13.5,,,2005
55,AS 205 A b,19.25,,24.84,2017
56,Aldebaran b,6.47,,628.96,1998
57,BD+03 2562 b,6.4,,481.9,2017
58,BD+14 4559 b,1.47,,268.94,2009
59,BD+15 2375 b,1.06,,153.22,2016
60,BD+15 2940 b,1.11,,137.48,2013
61,BD+20 1790 b,6.37,,7.78287,2009
62,BD+20 2457 b,21.42,,379.63,2009
63,BD+20 2457 c,12.47,,621.99,2009
64,BD+20 274 c,4.2,,578.2,2012
65,BD+20 594 b,0.0513,0.199,41.6855,2016
66,BD+24 4697 b,53,,145.081,2016
67,BD+26 1888 b,26,,536.78,2016
68,BD+48 738 b,0.91,,392.6,2011
69,BD+49 828 b,1.6,,2590,2015
70,BD-06 1339 b,0.027,,3.8728,2013
71,BD-06 1339 c,0.17,,125.94,2013
72,BD-06 1339 d,0.091,,500,2014
73,BD-08 2823 b,0.045,,5.6,2009
74,BD-08 2823 c,0.33,,237.6,2009
75,BD-10 3166 b,0.46,1.03,3.4878,2000
76,BD-11 4672 b,0.53,,1667,2010
77,BD-17 63 b,5.1,,655.6,2008
78,CD-35 2722 b,31,,,2011
79,CFBDS 1458 ,25.2,,,2010
80,CFBDS 1458 b,10.5,,14227,2011
81,CFBDSIR J2149-0403,21,,,2017
82,CHXR 73 b,12,,,2006
83,CI Tau b,12.31,,8.9965,2016
84,CT Cha b,17,2.2,,2008
85,CVSO 30 b ,6.2,1.91,0.448413,2012
86,CoRoT-1 b,1.03,1.49,1.5089557,2007
