Node,Depth
1,3731
2,1866
3,934
4,467
5,236
6,118
7,61
8,30
9,18
10,9
11,6
12,3
13,8
14,4
15,4
16,2
17,4
18,2
19,3
20,1
21,6
22,3
23,3
24,1
25,3
26,1
27,2
28,1
29,6
30,3
31,3
32,1
33,3
34,1
35,2
36,1
37,5
38,2
39,3
40,1
41,3
42,1
43,2
44,1
45,7
46,3
47,3
48,1
49,3
50,1
51,2
52,1
53,5
54,2
55,3
56,1
57,3
58,1
59,2
60,1
61,5
62,2
63,3
64,1
65,3
66,1
67,2
68,1
69,4
70,2
71,3
72,1
73,3
74,1
75,2
76,1
77,11
78,5
79,4
80,2
81,4
82,2
83,3
84,1
85,6
86,3
87,3
88,1
89,3
90,1
91,2
92,1
93,6
94,3
95,3
96,1
97,3
98,1
99,2
100,1
101,5
102,2
103,3
104,1
105,3
106,1
107,2
108,1
109,7
110,3
111,3
112,1
113,3
114,1
115,2
116,1
117,5
118,2
119,3
120,1
121,3
122,1
123,2
124,1
125,5
126,2
127,3
128,1
129,3
130,1
131,2
132,1
133,4
134,2
135,3
136,1
137,3
138,1
139,2
140,1
141,7
142,3
143,3
144,1
145,3
146,1
147,2
148,1
149,5
150,2
151,3
152,1
153,3
154,1
155,2
156,1
157,5
158,2
159,3
160,1
161,3
162,1
163,2
164,1
165,4
166,2
167,3
168,1
169,3
170,1
171,2
172,1
173,6
174,3
175,3
176,1
177,3
178,1
179,2
180,1
181,5
182,2
183,3
184,1
185,3
186,1
187,2
188,1
189,5
190,2
191,3
192,1
193,3
194,1
195,2
196,1
197,4
198,2
199,3
200,1
201,3
202,1
203,2
204,1
205,9
206,4
207,4
208,2
209,4
210,2
211,3
212,1
213,6
214,3
215,3
216,1
217,3
218,1
219,2
220,1
221,6
222,3
223,3
224,1
225,3
226,1
227,2
228,1
229,5
230,2
231,3
232,1
233,3
234,1
235,2
236,1
237,7
238,3
239,3
240,1
241,3
242,1
243,2
244,1
245,5
246,2
247,3
248,1
249,3
250,1
251,2
252,1
253,5
254,2
255,3
256,1
257,3
258,1
259,2
260,1
261,4
262,2
263,3
264,1
265,3
266,1
267,2
268,1
269,7
270,3
271,3
272,1
273,3
274,1
275,2
276,1
277,5
278,2
279,3
280,1
281,3
282,1
283,2
284,1
285,5
286,2
287,3
288,1
289,3
290,1
291,2
292,1
293,4
294,2
295,3
296,1
297,3
298,1
299,2
300,1
301,6
302,3
303,3
304,1
305,3
306,1
307,2
308,1
309,5
310,2
311,3
312,1
313,3
314,1
315,2
316,1
317,5
318,2
319,3
320,1
321,3
322,1
323,2
324,1
325,4
326,2
327,3
328,1
329,3
330,1
331,2
332,1
333,9
334,4
335,4
336,2
337,4
338,2
339,3
340,1
341,6
342,3
343,3
344,1
345,3
346,1
347,2
348,1
349,6
350,3
351,3
352,1
353,3
354,1
355,2
356,1
357,5
358,2
359,3
360,1
361,3
362,1
363,2
364,1
365,7
366,3
367,3
368,1
369,3
370,1
371,2
372,1
373,5
374,2
375,3
376,1
377,3
378,1
379,2
380,1
381,5
382,2
383,3
384,1
385,3
386,1
387,2
388,1
389,4
390,2
391,3
392,1
393,3
394,1
395,2
396,1
397,7
398,3
399,3
400,1
401,3
402,1
403,2
404,1
405,5
406,2
407,3
408,1
409,3
410,1
411,2
412,1
413,5
414,2
415,3
416,1
417,3
418,1
419,2
420,1
421,4
422,2
423,3
424,1
425,3
426,1
427,2
428,1
429,6
430,3
431,3
432,1
433,3
434,1
435,2
436,1
437,5
438,2
439,3
440,1
441,3
442,1
443,2
444,1
445,5
446,2
447,3
448,1
449,3
450,1
451,2
452,1
453,4
454,2
455,3
456,1
457,3
458,1
459,2
460,1
461,8
462,4
463,4
464,2
465,4
466,2
467,3
468,1
469,6
470,3
471,3
472,1
473,3
474,1
475,2
476,1
477,6
478,3
479,3
480,1
481,3
482,1
483,2
484,1
485,5
486,2
487,3
488,1
489,3
490,1
491,2
492,1
493,7
494,3
495,3
496,1
497,3
498,1
499,2
500,1
501,5
502,2
503,3
504,1
505,3
506,1
507,2
508,1
509,5
510,2
511,3
512,1
513,3
514,1
515,2
516,1
517,4
518,2
519,3
520,1
521,3
522,1
523,2
524,1
525,7
526,3
527,3
528,1
529,3
530,1
531,2
532,1
533,5
534,2
535,3
536,1
537,3
538,1
539,2
540,1
541,5
542,2
543,3
544,1
545,3
546,1
547,2
548,1
549,4
550,2
551,3
552,1
553,3
554,1
555,2
556,1
557,6
558,3
559,3
560,1
561,3
562,1
563,2
564,1
565,5
566,2
567,3
568,1
569,3
570,1
571,2
572,1
573,5
574,2
575,3
576,1
577,3
578,1
579,2
580,1
581,4
582,2
583,3
584,1
585,3
586,1
587,2
588,1
589,10
590,5
591,4
592,2
593,4
594,2
595,3
596,1
597,6
598,3
599,3
600,1
601,3
602,1
603,2
604,1
605,6
606,3
607,3
608,1
609,3
610,1
611,2
612,1
613,5
614,2
615,3
616,1
617,3
618,1
619,2
620,1
621,7
622,3
623,3
624,1
625,3
626,1
627,2
628,1
629,5
630,2
631,3
632,1
633,3
634,1
635,2
636,1
637,5
638,2
639,3
640,1
641,3
642,1
643,2
644,1
645,4
646,2
647,3
648,1
649,3
650,1
651,2
652,1
653,7
654,3
655,3
656,1
657,3
658,1
659,2
660,1
661,5
662,2
663,3
664,1
665,3
666,1
667,2
668,1
669,5
670,2
671,3
672,1
673,3
674,1
675,2
676,1
677,4
678,2
679,3
680,1
681,3
682,1
683,2
684,1
685,6
686,3
687,3
688,1
689,3
690,1
691,2
692,1
693,5
694,2
695,3
696,1
697,3
698,1
699,2
700,1
701,5
702,2
703,3
704,1
705,3
706,1
707,2
708,1
709,4
710,2
711,3
712,1
713,3
714,1
715,2
716,1
717,9
718,4
719,4
720,2
721,4
722,2
723,3
724,1
725,6
726,3
727,3
728,1
729,3
730,1
731,2
732,1
733,6
734,3
735,3
736,1
737,3
738,1
739,2
740,1
741,5
742,2
743,3
744,1
745,3
746,1
747,2
748,1
749,7
750,3
751,3
752,1
753,3
754,1
755,2
756,1
757,5
758,2
759,3
760,1
761,3
762,1
763,2
764,1
765,5
766,2
767,3
768,1
769,3
770,1
771,2
772,1
773,4
774,2
775,3
776,1
777,3
778,1
779,2
780,1
781,7
782,3
783,3
784,1
785,3
786,1
787,2
788,1
789,5
790,2
791,3
792,1
793,3
794,1
795,2
796,1
797,5
798,2
799,3
800,1
801,3
802,1
803,2
804,1
805,4
806,2
807,3
808,1
809,3
810,1
811,2
812,1
813,6
814,3
815,3
816,1
817,3
818,1
819,2
820,1
821,5
822,2
823,3
824,1
825,3
826,1
827,2
828,1
829,5
830,2
831,3
832,1
833,3
834,1
835,2
836,1
837,4
838,2
839,3
840,1
841,3
842,1
843,2
844,1
845,9
846,4
847,4
848,2
849,4
850,2
851,3
852,1
853,6
854,3
855,3
856,1
857,3
858,1
859,2
860,1
861,6
862,3
863,3
864,1
865,3
866,1
867,2
868,1
869,5
870,2
871,3
872,1
873,3
874,1
875,2
876,1
877,7
878,3
879,3
880,1
881,3
882,1
883,2
884,1
885,5
886,2
887,3
888,1
889,3
890,1
891,2
892,1
893,5
894,2
895,3
896,1
897,3
898,1
899,2
900,1
901,4
902,2
903,3
904,1
905,3
906,1
907,2
908,1
909,7
910,3
911,3
912,1
913,3
914,1
915,2
916,1
917,5
918,2
919,3
920,1
921,3
922,1
923,2
924,1
925,5
926,2
927,3
928,1
929,3
930,1
931,2
932,1
933,4
934,2
935,3
936,1
937,3
938,1
939,2
940,1
941,6
942,3
943,3
944,1
945,3
946,1
947,2
948,1
949,5
950,2
951,3
952,1
953,3
954,1
955,2
956,1
957,5
958,2
959,3
960,1
961,3
962,1
963,2
964,1
965,4
966,2
967,3
968,1
969,3
970,1
971,2
972,1
973,8
974,4
975,4
976,2
977,4
978,2
979,3
980,1
981,6
982,3
983,3
984,1
985,3
986,1
987,2
988,1
989,6
990,3
991,3
992,1
993,3
994,1
995,2
996,1
997,5
998,2
999,3
1000,1
1001,3
1002,1
1003,2
1004,1
1005,7
1006,3
1007,3
1008,1
1009,3
1010,1
1011,2
1012,1
1013,5
1014,2
1015,3
1016,1
1017,3
1018,1
1019,2
1020,1
1021,5
1022,2
1023,3
1024,1
1025,3
1026,1
1027,2
1028,1
1029,4
1030,2
1031,3
1032,1
1033,3
1034,1
1035,2
1036,1
1037,7
1038,3
1039,3
1040,1
1041,3
1042,1
1043,2
1044,1
1045,5
1046,2
1047,3
1048,1
1049,3
1050,1
1051,2
1052,1
1053,5
1054,2
1055,3
1056,1
1057,3
1058,1
1059,2
1060,1
1061,4
1062,2
1063,3
1064,1
1065,3
1066,1
1067,2
1068,1
1069,6
1070,3
1071,3
1072,1
1073,3
1074,1
1075,2
1076,1
1077,5
1078,2
1079,3
1080,1
1081,3
1082,1
1083,2
1084,1
1085,5
1086,2
1087,3
1088,1
1089,3
1090,1
1091,2
1092,1
1093,4
1094,2
1095,3
1096,1
1097,3
1098,1
1099,2
1100,1
1101,12
1102,6
1103,5
1104,2
1105,4
1106,2
1107,3
1108,1
1109,6
1110,3
1111,3
1112,1
1113,3
1114,1
1115,2
1116,1
1117,6
1118,3
1119,3
1120,1
1121,3
1122,1
1123,2
1124,1
1125,5
1126,2
1127,3
1128,1
1129,3
1130,1
1131,2
1132,1
1133,7
1134,3
1135,3
1136,1
1137,3
1138,1
1139,2
1140,1
1141,5
1142,2
1143,3
1144,1
1145,3
1146,1
1147,2
1148,1
1149,5
1150,2
1151,3
1152,1
1153,3
1154,1
1155,2
1156,1
1157,4
1158,2
1159,3
1160,1
1161,3
1162,1
1163,2
1164,1
1165,7
1166,3
1167,3
1168,1
1169,3
1170,1
1171,2
1172,1
1173,5
1174,2
1175,3
1176,1
1177,3
1178,1
1179,2
1180,1
1181,5
1182,2
1183,3
1184,1
1185,3
1186,1
1187,2
1188,1
1189,4
1190,2
1191,3
1192,1
1193,3
1194,1
1195,2
1196,1
1197,6
1198,3
1199,3
1200,1
1201,3
1202,1
1203,2
1204,1
1205,5
1206,2
1207,3
1208,1
1209,3
1210,1
1211,2
1212,1
1213,5
1214,2
1215,3
1216,1
1217,3
1218,1
1219,2
1220,1
1221,4
1222,2
1223,3
1224,1
1225,3
1226,1
1227,2
1228,1
1229,10
1230,5
1231,4
1232,2
1233,4
1234,2
1235,3
1236,1
1237,6
1238,3
1239,3
1240,1
1241,3
1242,1
1243,2
1244,1
1245,6
1246,3
1247,3
1248,1
1249,3
1250,1
1251,2
1252,1
1253,5
1254,2
1255,3
1256,1
1257,3
1258,1
1259,2
1260,1
1261,7
1262,3
1263,3
1264,1
1265,3
1266,1
1267,2
1268,1
1269,5
1270,2
1271,3
1272,1
1273,3
1274,1
1275,2
1276,1
1277,5
1278,2
1279,3
1280,1
1281,3
1282,1
1283,2
1284,1
1285,4
1286,2
1287,3
1288,1
1289,3
1290,1
1291,2
1292,1
1293,7
1294,3
1295,3
1296,1
1297,3
1298,1
1299,2
1300,1
1301,5
1302,2
1303,3
1304,1
1305,3
1306,1
1307,2
1308,1
1309,5
1310,2
1311,3
1312,1
1313,3
1314,1
1315,2
1316,1
1317,4
1318,2
1319,3
1320,1
1321,3
1322,1
1323,2
1324,1
1325,6
1326,3
1327,3
1328,1
1329,3
1330,1
1331,2
1332,1
1333,5
1334,2
1335,3
1336,1
1337,3
1338,1
1339,2
1340,1
1341,5
1342,2
1343,3
1344,1
1345,3
1346,1
1347,2
1348,1
1349,4
1350,2
1351,3
1352,1
1353,3
1354,1
1355,2
1356,1
1357,10
1358,5
1359,4
1360,2
1361,4
1362,2
1363,3
1364,1
1365,6
1366,3
1367,3
1368,1
1369,3
1370,1
1371,2
1372,1
1373,6
1374,3
1375,3
1376,1
1377,3
1378,1
1379,2
1380,1
1381,5
1382,2
1383,3
1384,1
1385,3
1386,1
1387,2
1388,1
1389,7
1390,3
1391,3
1392,1
1393,3
1394,1
1395,2
1396,1
1397,5
1398,2
1399,3
1400,1
1401,3
1402,1
1403,2
1404,1
1405,5
1406,2
1407,3
1408,1
1409,3
1410,1
1411,2
1412,1
1413,4
1414,2
1415,3
1416,1
1417,3
1418,1
1419,2
1420,1
1421,7
1422,3
1423,3
1424,1
1425,3
1426,1
1427,2
1428,1
1429,5
1430,2
1431,3
1432,1
1433,3
1434,1
1435,2
1436,1
1437,5
1438,2
1439,3
1440,1
1441,3
1442,1
1443,2
1444,1
1445,4
1446,2
1447,3
1448,1
1449,3
1450,1
1451,2
1452,1
1453,6
1454,3
1455,3
1456,1
1457,3
1458,1
1459,2
1460,1
1461,5
1462,2
1463,3
1464,1
1465,3
1466,1
1467,2
1468,1
1469,5
1470,2
1471,3
1472,1
1473,3
1474,1
1475,2
1476,1
1477,4
1478,2
1479,3
1480,1
1481,3
1482,1
1483,2
1484,1
1485,9
1486,4
1487,4
1488,2
1489,4
1490,2
1491,3
1492,1
1493,6
1494,3
1495,3
1496,1
1497,3
1498,1
1499,2
1500,1
1501,6
1502,3
1503,3
1504,1
1505,3
1506,1
1507,2
1508,1
1509,5
1510,2
1511,3
1512,1
1513,3
1514,1
1515,2
1516,1
1517,7
1518,3
1519,3
1520,1
1521,3
1522,1
1523,2
1524,1
1525,5
1526,2
1527,3
1528,1
1529,3
1530,1
1531,2
1532,1
1533,5
1534,2
1535,3
1536,1
1537,3
1538,1
1539,2
1540,1
1541,4
1542,2
1543,3
1544,1
1545,3
1546,1
1547,2
1548,1
1549,7
1550,3
1551,3
1552,1
1553,3
1554,1
1555,2
1556,1
1557,5
1558,2
1559,3
1560,1
1561,3
1562,1
1563,2
1564,1
1565,5
1566,2
1567,3
1568,1
1569,3
1570,1
1571,2
1572,1
1573,4
1574,2
1575,3
1576,1
1577,3
1578,1
1579,2
1580,1
1581,6
1582,3
1583,3
1584,1
1585,3
1586,1
1587,2
1588,1
1589,5
1590,2
1591,3
1592,1
1593,3
1594,1
1595,2
1596,1
1597,5
1598,2
1599,3
1600,1
1601,3
1602,1
1603,2
1604,1
1605,4
1606,2
1607,3
1608,1
1609,3
1610,1
1611,2
1612,1
1613,11
1614,5
1615,4
1616,2
1617,4
1618,2
1619,3
1620,1
1621,6
1622,3
1623,3
1624,1
1625,3
1626,1
1627,2
1628,1
1629,6
1630,3
1631,3
1632,1
1633,3
1634,1
1635,2
1636,1
1637,5
1638,2
1639,3
1640,1
1641,3
1642,1
1643,2
1644,1
1645,7
1646,3
1647,3
1648,1
1649,3
1650,1
1651,2
1652,1
1653,5
1654,2
1655,3
1656,1
1657,3
1658,1
1659,2
1660,1
1661,5
1662,2
1663,3
1664,1
1665,3
1666,1
1667,2
1668,1
1669,4
1670,2
1671,3
1672,1
1673,3
1674,1
1675,2
1676,1
1677,7
1678,3
1679,3
1680,1
1681,3
1682,1
1683,2
1684,1
1685,5
1686,2
1687,3
1688,1
1689,3
1690,1
1691,2
1692,1
1693,5
1694,2
1695,3
1696,1
1697,3
1698,1
1699,2
