Node,Depth
1,7
2,6
3,5
4,6
5,4
6,5
7,6
8,3
9,5
10,4
11,6
12,5
13,6
14,2
15,5
16,6
17,4
18,6
19,7
20,5
21,6
22,3
23,7
24,6
25,7
26,5
27,7
28,6
29,7
30,4
31,6
32,7
33,5
34,6
35,1
36,5
37,6
38,4
39,5
40,3
41,5
42,4
43,2
44,6
45,5
46,4
47,5
48,3
49,5
50,6
51,4
52,5
53,0
54,6
55,5
56,4
57,6
58,5
59,3
60,5
61,4
62,5
63,2
64,6
65,5
66,6
67,7
68,4
69,6
70,5
71,3
72,5
73,4
74,5
75,6
76,1
77,7
78,6
79,5
80,7
81,6
82,4
83,6
84,5
85,6
86,3
87,6
88,5
89,4
90,6
91,5
92,2
93,5
94,4
95,5
96,3
97,5
98,6
99,4
100,5
