Node,Depth
1,2
2,1
3,8
4,7
5,8
6,6
7,5
8,4
9,3
10,2
11,4
12,3
13,0
14,8
15,7
16,8
17,6
18,5
19,4
20,7
21,8
22,9
23,10
24,11
25,6
26,5
27,6
28,3
29,6
30,9
31,8
32,7
33,5
34,8
35,9
36,7
37,9
38,11
39,10
40,8
41,6
42,8
43,11
44,12
45,10
46,12
47,11
48,9
49,11
50,12
51,10
52,7
53,9
54,10
55,8
56,10
57,9
58,10
59,4
60,8
61,9
62,7
63,6
64,9
65,8
66,10
67,9
68,11
69,10
70,12
71,11
72,7
73,11
74,10
75,11
76,9
77,8
78,9
79,11
80,12
81,13
82,10
83,5
84,7
85,8
86,9
87,6
88,8
89,10
90,9
91,7
92,8
93,10
94,11
95,9
96,10
97,2
98,3
99,1
100,2
