Node,Depth
54,3678
54,0
54,0
54,0
54,0
1017,1358
1017,0
1017,0
1017,0
1017,0
2203,383
2203,0
2203,0
2203,0
2203,0
2365,174
2365,0
2365,0
2365,0
2365,0
807,108
807,0
807,0
807,0
807,0
784,14
784,0
784,0
784,0
784,0
2869,61
2869,0
2869,0
2869,0
2869,0
1792,109
1792,0
1792,0
1792,0
1792,0
1572,60
1572,0
1572,0
1572,0
1572,0
2410,38
2410,0
2410,0
2410,0
2410,0
132,332
132,0
132,0
132,0
132,0
2205,26
2205,0
2205,0
2205,0
2205,0
3228,24
3228,0
3228,0
3228,0
3228,0
3590,10
3590,0
3590,0
3590,0
3590,0
3126,12
3126,0
3126,0
3126,0
3126,0
1890,48
1890,0
1890,0
1890,0
1890,0
2307,10
2307,0
2307,0
2307,0
2307,0
144,167
144,0
144,0
144,0
144,0
826,56
826,0
826,0
826,0
826,0
464,46
464,0
464,0
464,0
464,0
3651,13
3651,0
3651,0
3651,0
3651,0
3556,12
3556,0
3556,0
3556,0
3556,0
1863,11
1863,0
1863,0
1863,0
1863,0
3718,10
3718,0
3718,0
3718,0
3718,0
2816,14
2816,0
2816,0
2816,0
2816,0
791,10
791,0
791,0
791,0
791,0
2231,12
2231,0
2231,0
2231,0
2231,0
183,41
183,0
183,0
183,0
183,0
1236,94
1236,0
1236,0
1236,0
1236,0
1233,7
1233,0
1233,0
1233,0
1233,0
2294,9
2294,0
2294,0
2294,0
2294,0
2257,8
2257,0
2257,0
2257,0
2257,0
3439,10
3439,0
3439,0
3439,0
3439,0
434,13
434,0
434,0
434,0
434,0
3554,7
3554,0
3554,0
3554,0
3554,0
2669,17
2669,0
2669,0
2669,0
2669,0
2198,16
2198,0
2198,0
2198,0
2198,0
506,28
506,0
506,0
506,0
506,0
1855,9
1855,0
1855,0
1855,0
1855,0
2556,16
2556,0
2556,0
2556,0
2556,0
3558,10
3558,0
3558,0
3558,0
3558,0
2397,15
2397,0
2397,0
2397,0
2397,0
3581,8
3581,0
3581,0
3581,0
3581,0
2336,12
2336,0
2336,0
2336,0
2336,0
74,40
74,0
74,0
74,0
74,0
1826,15
1826,0
1826,0
1826,0
1826,0
1644,28
1644,0
1644,0
1644,0
1644,0
277,20
277,0
277,0
277,0
277,0
1281,43
1281,0
1281,0
1281,0
1281,0
2089,19
2089,0
2089,0
2089,0
2089,0
96,17
96,0
96,0
96,0
96,0
107,9
107,0
107,0
107,0
107,0
2167,10
2167,0
2167,0
2167,0
2167,0
2839,16
2839,0
2839,0
2839,0
2839,0
2052,16
2052,0
2052,0
2052,0
2052,0
22,37
22,0
22,0
22,0
22,0
3366,16
3366,0
3366,0
3366,0
3366,0
78,13
78,0
78,0
78,0
78,0
2348,13
2348,0
2348,0
2348,0
2348,0
2722,14
2722,0
2722,0
2722,0
2722,0
3482,13
3482,0
3482,0
3482,0
3482,0
2998,16
2998,0
2998,0
2998,0
2998,0
270,15
270,0
270,0
270,0
270,0
1835,9
1835,0
1835,0
1835,0
1835,0
841,33
841,0
841,0
841,0
841,0
2465,16
2465,0
2465,0
2465,0
2465,0
3356,11
3356,0
3356,0
3356,0
3356,0
3693,12
3693,0
3693,0
3693,0
3693,0
1646,21
1646,0
1646,0
1646,0
1646,0
1728,12
1728,0
1728,0
1728,0
1728,0
2055,12
2055,0
2055,0
2055,0
2055,0
10,20
10,0
10,0
10,0
10,0
3094,16
3094,0
3094,0
3094,0
3094,0
1171,24
1171,0
1171,0
1171,0
1171,0
95,7
95,0
95,0
95,0
95,0
2850,16
2850,0
2850,0
2850,0
2850,0
1372,23
1372,0
1372,0
1372,0
1372,0
2889,13
2889,0
2889,0
2889,0
2889,0
677,16
677,0
677,0
677,0
677,0
3119,6
3119,0
3119,0
3119,0
3119,0
2745,17
2745,0
2745,0
2745,0
2745,0
2282,14
2282,0
2282,0
2282,0
2282,0
2532,13
2532,0
2532,0
2532,0
2532,0
1875,11
1875,0
1875,0
1875,0
1875,0
11,11
11,0
11,0
11,0
11,0
3438,15
3438,0
