Node,Depth
1,5
2,5
3,2
4,2
5,5
6,2
7,4
8,2
9,2
10,6
11,4
12,3
13,2
14,1
15,3
16,2
17,2
18,1
19,3
20,1
21,2
22,1
23,3
24,1
25,3
26,1
27,1
28,3
29,3
30,1
31,1
32,6
33,3
34,2
35,4
36,2
37,2
38,4
39,4
40,3
41,1
42,2
43,6
44,4
45,3
46,1
47,4
48,3
49,1
50,2
51,5
52,3
53,1
54,2
55,1
56,2
57,1
58,3
59,1
60,2
61,1
62,3
63,3
64,2
65,1
66,3
67,1
68,1
69,4
70,2
71,2
72,3
73,2
74,2
75,3
76,1
77,1
78,1
79,2
80,3
81,4
82,2
83,3
84,1
85,1
86,4
87,4
88,2
89,2
90,4
91,2
92,2
93,1
94,2
95,3
96,3
97,1
98,1
99,1
100,1
